Date,All,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Other
27/5/12,1042,0,5,387,76,1,0,0,573,0
24/5/12,997,0,3,98,0,1,0,6,889,0
25/5/12,694,0,2,114,2,2,0,0,574,0
12/7/01,239,0,0,134,90,3,0,0,12,0
19/7/03,409,0,26,186,22,2,0,0,173,0
18/7/03,219,0,42,52,60,0,1,0,64,0
17/7/03,323,0,15,133,52,0,3,0,120,0
16/7/03,247,0,39,70,82,3,0,0,53,0
15/7/03,444,0,38,176,72,1,0,0,157,0
14/7/03,440,0,26,211,70,2,0,2,129,0
13/7/03,458,0,10,164,103,1,0,2,178,0
12/7/03,308,0,1,163,15,2,0,2,125,0
11/7/03,215,0,12,58,53,1,0,0,91,0
10/7/03,312,0,10,113,31,5,0,1,152,0
9/2/03,378,0,53,7,4,0,3,134,177,0
9/7/08,985,0,9,788,30,3,0,0,155,0
28/8/06,1634,0,44,736,221,0,27,1,605,0
29/8/06,921,0,17,364,282,0,9,0,249,0
26/8/06,1030,0,29,456,160,0,0,0,385,0
27/8/06,885,0,31,215,342,0,13,0,284,0
24/8/06,1062,0,86,450,273,2,2,0,249,0
25/8/06,1179,0,130,398,427,0,2,0,222,0
22/8/06,1093,0,154,200,425,0,0,0,314,0
23/8/06,991,0,90,340,445,0,1,2,113,0
20/8/06,902,0,85,270,266,1,0,0,280,0
21/8/06,1247,0,76,759,120,3,0,2,287,0
9/4/07,180,0,56,21,13,3,30,40,17,0
8/4/07,145,2,31,54,13,1,1,18,25,0
18/4/10,176,0,48,4,2,0,19,11,92,0
19/4/10,652,0,68,50,4,1,48,51,430,0
12/4/10,152,0,58,6,2,11,5,10,60,0
13/4/10,320,0,53,0,6,103,10,71,77,0
10/4/10,291,0,17,3,13,0,4,1,253,0
11/4/10,132,0,13,0,10,1,1,2,105,0
16/4/10,471,0,74,8,9,88,19,219,54,0
17/4/10,308,0,35,7,0,17,18,172,59,0
14/4/10,250,0,118,25,12,35,11,22,27,0
15/4/10,556,0,55,26,10,250,19,136,60,0
9/3/06,80,0,13,4,24,16,8,6,9,0
8/3/06,139,0,40,0,42,23,8,2,24,0
5/3/06,34,0,6,5,3,0,2,0,18,0
4/3/06,65,0,4,1,19,0,4,0,37,0
7/3/06,86,0,42,0,7,2,4,2,29,0
6/3/06,50,0,12,7,8,11,8,0,4,0
1/3/06,52,0,6,4,20,11,4,4,3,0
3/3/06,68,0,11,11,12,0,8,1,25,0
2/3/06,36,0,7,6,6,0,6,2,9,0
1/8/03,543,0,51,177,131,0,0,0,184,0
3/8/03,438,0,77,106,75,2,0,1,177,0
2/8/03,620,0,21,269,67,2,0,1,260,0
5/8/03,193,0,35,36,69,4,0,0,49,0
4/8/03,458,0,73,150,56,0,0,2,177,0
7/8/03,244,0,45,112,59,0,0,1,27,0
6/8/03,261,0,84,84,76,0,0,3,14,0
9/8/03,246,0,64,112,33,1,0,1,35,0
8/8/03,259,0,52,129,16,0,0,3,59,0
22/4/06,352,0,92,31,49,4,4,16,156,0
8/6/17,891,0,80,248,196,4,0,0,363,0
9/6/17,1108,0,46,241,127,0,2,8,684,0
23/4/06,252,0,63,41,44,9,2,0,93,0
4/6/17,534,0,96,119,179,12,0,25,103,0
5/6/17,637,0,31,303,66,17,0,5,215,0
6/6/17,740,0,61,195,225,9,1,0,249,0
7/6/17,1295,0,91,677,76,11,3,23,414,0
20/4/06,570,0,140,17,20,0,0,3,390,0
2/6/17,876,0,66,336,85,23,8,32,326,0
3/6/17,633,0,48,244,55,8,0,10,268,0
